invoice_no,stock_code,description,quantity,invoice_date,unit_price,customer_id,country
INV-100000,SKU-1004,Mechanical Keyboard,1,2024-06-02T15:43:00,119.31,CUST-10377,United States
INV-100001,SKU-1005,Noise Cancelling Headphones,6,2024-07-10T03:17:00,198.54,CUST-54203,Canada
INV-100002,SKU-1005,Noise Cancelling Headphones,6,2024-09-21T02:05:00,104.83,CUST-79981,France
INV-100001,SKU-1004,Mechanical Keyboard,1,2024-11-08T00:30:00,134.82,CUST-26632,Spain
INV-100004,SKU-1005,Noise Cancelling Headphones,6,2024-08-07T03:42:00,16.74,CUST-54783,United Kingdom
INV-100001,SKU-1008,Bluetooth Speaker,4,2024-08-17T17:06:00,80.94,CUST-90902,United Kingdom
INV-100003,SKU-1002,USB-C Cable,7,2024-01-15T02:52:00,71.69,CUST-86558,Canada
INV-100003,SKU-1002,USB-C Cable,3,2024-03-30T16:24:00,141.04,CUST-84031,United States
INV-100002,SKU-1008,Bluetooth Speaker,3,2024-09-02T22:00:00,10.2,CUST-28344,Germany
INV-100004,SKU-1007,Desk Lamp,1,2024-11-11T17:35:00,145.36,CUST-74713,Australia
INV-100003,SKU-1004,Mechanical Keyboard,6,2024-02-07T18:30:00,49.74,CUST-33959,United States
INV-100005,SKU-1004,Mechanical Keyboard,2,2024-02-19T02:46:00,41.47,CUST-22784,United States
INV-100012,SKU-1005,Noise Cancelling Headphones,8,2024-12-16T00:31:00,105.57,CUST-66313,United Kingdom
INV-100013,SKU-1004,Mechanical Keyboard,1,2024-04-13T03:08:00,242.63,CUST-31887,Spain
INV-100003,SKU-1008,Bluetooth Speaker,6,2024-03-08T10:36:00,17.76,CUST-20687,Germany
INV-100003,SKU-1007,Desk Lamp,7,2024-10-10T07:10:00,13.56,CUST-97417,France
INV-100005,SKU-1008,Bluetooth Speaker,4,2024-08-12T21:39:00,239.29,CUST-89625,United States
INV-100004,SKU-1001,Wireless Mouse,1,2024-01-01T12:11:00,38.51,CUST-33659,Germany
INV-100009,SKU-1001,Wireless Mouse,8,2024-09-14T00:20:00,120.27,CUST-23963,Germany
INV-100004,SKU-1004,Mechanical Keyboard,4,2024-02-04T04:21:00,211.62,CUST-78162,France
INV-100020,SKU-1004,Mechanical Keyboard,5,2024-03-03T11:11:00,22.87,CUST-71993,United Kingdom
INV-100021,SKU-1001,Wireless Mouse,8,2024-08-16T09:09:00,187.68,CUST-41921,Australia
INV-100005,SKU-1001,Wireless Mouse,4,2024-06-01T23:12:00,140.09,CUST-32079,United States
INV-100005,SKU-1005,Noise Cancelling Headphones,4,2024-05-15T21:20:00,146.96,CUST-18663,Germany
INV-100024,SKU-1006,Smart Watch,7,2024-04-13T10:40:00,96.47,CUST-66098,United States
INV-100025,SKU-1005,Noise Cancelling Headphones,6,2024-03-18T08:29:00,54.91,CUST-27383,Australia
INV-100026,SKU-1005,Noise Cancelling Headphones,4,2024-05-16T21:56:00,136.17,CUST-80183,France
INV-100009,SKU-1008,Bluetooth Speaker,6,2024-01-20T19:28:00,9.93,CUST-82802,Canada
INV-100028,SKU-1008,Bluetooth Speaker,1,2024-11-30T19:21:00,128.94,CUST-98658,United States
INV-100009,SKU-1004,Mechanical Keyboard,7,2024-06-17T12:35:00,72.03,CUST-77592,Australia
INV-100007,SKU-1004,Mechanical Keyboard,7,2024-03-23T09:49:00,212.64,CUST-87759,Germany
INV-100015,SKU-1005,Noise Cancelling Headphones,1,2024-07-14T17:21:00,75.23,CUST-30993,Spain
INV-100008,SKU-1005,Noise Cancelling Headphones,7,2024-03-13T01:58:00,245.51,CUST-19867,Australia
INV-100008,SKU-1008,Bluetooth Speaker,1,2024-12-07T12:45:00,111.74,CUST-85642,Australia
INV-100011,SKU-1003,Laptop Stand,6,2024-01-11T13:35:00,98.63,CUST-21046,Germany
INV-100017,SKU-1007,Desk Lamp,6,2024-05-08T00:22:00,200.34,CUST-25996,France
INV-100018,SKU-1002,USB-C Cable,8,2024-05-30T23:16:00,219.22,CUST-31028,Germany
INV-100018,SKU-1002,USB-C Cable,7,2024-04-09T05:22:00,80.22,CUST-51583,Germany
INV-100038,SKU-1001,Wireless Mouse,5,2024-06-14T17:21:00,180.68,CUST-10650,United States
INV-100039,SKU-1008,Bluetooth Speaker,3,2024-03-07T12:33:00,212.38,CUST-21487,Canada
INV-100010,SKU-1002,USB-C Cable,8,2024-02-20T09:33:00,185.83,CUST-92925,France
INV-100041,SKU-1002,USB-C Cable,8,2024-03-18T11:42:00,122.59,CUST-13220,France
INV-100021,SKU-1003,Laptop Stand,2,2024-04-28T06:30:00,112.59,CUST-25467,Spain
INV-100043,SKU-1007,Desk Lamp,6,2024-03-05T09:10:00,93.16,CUST-37421,France
INV-100011,SKU-1003,Laptop Stand,3,2024-06-18T05:37:00,192.9,CUST-73233,United Kingdom
INV-100011,SKU-1003,Laptop Stand,4,2024-03-16T20:03:00,53.57,CUST-88969,Australia
INV-100023,SKU-1004,Mechanical Keyboard,6,2024-08-24T13:18:00,130.04,CUST-84708,United Kingdom
INV-100015,SKU-1007,Desk Lamp,7,2024-06-13T21:04:00,63.89,CUST-92639,United States
INV-100024,SKU-1008,Bluetooth Speaker,7,2024-12-03T14:31:00,100.28,CUST-81723,Spain
INV-100012,SKU-1004,Mechanical Keyboard,4,2024-01-14T21:23:00,8.03,CUST-46387,Australia
INV-100050,SKU-1005,Noise Cancelling Headphones,2,2024-10-27T07:23:00,18.33,CUST-51331,Spain
INV-100051,SKU-1008,Bluetooth Speaker,1,2024-10-27T22:02:00,132.88,CUST-98740,Spain
INV-100017,SKU-1004,Mechanical Keyboard,8,2024-10-10T08:29:00,221.03,CUST-13224,Germany
INV-100017,SKU-1004,Mechanical Keyboard,5,2024-10-12T21:27:00,199.03,CUST-57607,Australia
INV-100027,SKU-1004,Mechanical Keyboard,8,2024-08-01T06:30:00,140.25,CUST-43107,Spain
INV-100055,SKU-1007,Desk Lamp,3,2024-07-15T20:35:00,208.25,CUST-69940,France
INV-100014,SKU-1004,Mechanical Keyboard,1,2024-01-09T20:27:00,143.81,CUST-97911,Australia
INV-100014,SKU-1004,Mechanical Keyboard,2,2024-11-24T12:27:00,146.88,CUST-74612,Spain
INV-100014,SKU-1008,Bluetooth Speaker,8,2024-06-25T12:21:00,197.07,CUST-15625,Australia
INV-100029,SKU-1001,Wireless Mouse,3,2024-12-05T13:15:00,51.14,CUST-81404,Spain
INV-100020,SKU-1004,Mechanical Keyboard,2,2024-11-22T14:33:00,238.66,CUST-35197,Canada
INV-100015,SKU-1005,Noise Cancelling Headphones,4,2024-09-21T23:24:00,28.55,CUST-19248,Germany
INV-100031,SKU-1008,Bluetooth Speaker,7,2024-07-17T14:33:00,33.53,CUST-27205,Germany
INV-100015,SKU-1005,Noise Cancelling Headphones,3,2024-03-13T09:38:00,75.87,CUST-78251,Spain
INV-100021,SKU-1003,Laptop Stand,7,2024-11-28T08:56:00,142.41,CUST-93194,Australia
INV-100032,SKU-1001,Wireless Mouse,2,2024-04-05T19:39:00,17.48,CUST-88347,Canada
INV-100033,SKU-1004,Mechanical Keyboard,7,2024-11-01T17:30:00,25.64,CUST-29253,Australia
INV-100067,SKU-1002,USB-C Cable,5,2024-12-11T02:07:00,246.21,CUST-32984,United Kingdom
INV-100034,SKU-1005,Noise Cancelling Headphones,3,2024-09-02T21:10:00,22.55,CUST-57943,Australia
INV-100023,SKU-1005,Noise Cancelling Headphones,1,2024-08-22T16:49:00,90.22,CUST-35774,Australia
INV-100017,SKU-1006,Smart Watch,8,2024-12-14T01:07:00,100.81,CUST-83133,Australia
INV-100071,SKU-1001,Wireless Mouse,8,2024-11-28T20:45:00,225.97,CUST-35604,France
INV-100036,SKU-1008,Bluetooth Speaker,7,2024-03-31T23:33:00,26.87,CUST-30408,United States
INV-100073,SKU-1002,USB-C Cable,2,2024-12-14T17:16:00,165.8,CUST-72619,France
INV-100037,SKU-1007,Desk Lamp,4,2024-09-20T20:22:00,238.67,CUST-83072,United Kingdom
INV-100037,SKU-1007,Desk Lamp,7,2024-09-25T14:21:00,88.32,CUST-66366,Spain
INV-100025,SKU-1002,USB-C Cable,1,2024-06-08T01:03:00,101.38,CUST-40523,Canada
INV-100025,SKU-1007,Desk Lamp,3,2024-06-16T01:39:00,186.1,CUST-93689,United Kingdom
INV-100078,SKU-1002,USB-C Cable,1,2024-12-22T15:00:00,84.01,CUST-14547,United Kingdom
INV-100079,SKU-1008,Bluetooth Speaker,5,2024-10-22T17:26:00,68.19,CUST-39138,Germany
INV-100020,SKU-1005,Noise Cancelling Headphones,3,2024-06-28T05:39:00,236.01,CUST-92097,Germany
INV-100081,SKU-1006,Smart Watch,2,2024-06-10T14:46:00,45.41,CUST-34886,Australia
INV-100082,SKU-1007,Desk Lamp,5,2024-05-05T00:21:00,131.57,CUST-80180,Spain
INV-100020,SKU-1008,Bluetooth Speaker,7,2024-06-20T20:07:00,185.85,CUST-42412,Australia
INV-100042,SKU-1005,Noise Cancelling Headphones,5,2024-05-19T04:54:00,88.19,CUST-47306,Germany
INV-100085,SKU-1007,Desk Lamp,2,2024-01-20T08:55:00,174.36,CUST-39739,United Kingdom
INV-100043,SKU-1001,Wireless Mouse,6,2024-07-13T15:30:00,218.12,CUST-51231,Germany
INV-100043,SKU-1001,Wireless Mouse,1,2024-01-05T23:09:00,183.57,CUST-58172,France
INV-100029,SKU-1004,Mechanical Keyboard,7,2024-12-02T10:59:00,135.96,CUST-50339,Germany
INV-100089,SKU-1004,Mechanical Keyboard,1,2024-05-16T23:21:00,230.14,CUST-83562,France
INV-100045,SKU-1008,Bluetooth Speaker,4,2024-01-27T01:24:00,73.79,CUST-13335,United States
INV-100030,SKU-1004,Mechanical Keyboard,1,2024-11-23T15:45:00,45.13,CUST-49926,United Kingdom
INV-100046,SKU-1002,USB-C Cable,7,2024-01-27T19:44:00,220.28,CUST-38805,United Kingdom
INV-100046,SKU-1003,Laptop Stand,2,2024-11-16T13:54:00,198.2,CUST-52142,United Kingdom
INV-100023,SKU-1002,USB-C Cable,8,2024-12-24T08:13:00,31.29,CUST-58132,Spain
INV-100047,SKU-1002,USB-C Cable,4,2024-11-24T19:49:00,96.28,CUST-82008,Spain
INV-100032,SKU-1007,Desk Lamp,2,2024-03-13T02:41:00,22.88,CUST-98313,Germany
INV-100048,SKU-1001,Wireless Mouse,6,2024-06-01T17:10:00,248.37,CUST-88639,France
INV-100098,SKU-1006,Smart Watch,3,2024-12-09T13:54:00,6.46,CUST-69955,Spain
INV-100033,SKU-1002,USB-C Cable,3,2024-11-19T08:46:00,176.02,CUST-28677,Australia
INV-100025,SKU-1006,Smart Watch,8,2024-09-19T00:39:00,197.5,CUST-69497,France
INV-100025,SKU-1008,Bluetooth Speaker,2,2024-01-27T03:13:00,10.55,CUST-12363,Australia
INV-100051,SKU-1004,Mechanical Keyboard,8,2024-02-15T12:04:00,145.74,CUST-51038,Spain
INV-100103,SKU-1003,Laptop Stand,3,2024-12-27T18:37:00,65.4,CUST-45579,Spain
INV-100104,SKU-1001,Wireless Mouse,8,2024-08-06T07:26:00,34.5,CUST-33101,United States
INV-100035,SKU-1005,Noise Cancelling Headphones,3,2024-09-13T18:22:00,113.2,CUST-37124,Canada
INV-100106,SKU-1008,Bluetooth Speaker,5,2024-05-16T07:30:00,155.23,CUST-10447,United Kingdom
INV-100026,SKU-1008,Bluetooth Speaker,6,2024-03-23T05:17:00,38.65,CUST-95273,United States
INV-100054,SKU-1001,Wireless Mouse,7,2024-11-09T01:01:00,100.74,CUST-72515,Germany
INV-100036,SKU-1008,Bluetooth Speaker,7,2024-07-18T17:00:00,136.28,CUST-54450,Canada
INV-100055,SKU-1005,Noise Cancelling Headphones,2,2024-05-02T08:03:00,230.97,CUST-47054,United Kingdom
INV-100055,SKU-1004,Mechanical Keyboard,8,2024-05-11T17:08:00,186.21,CUST-53685,Spain
INV-100028,SKU-1008,Bluetooth Speaker,7,2024-02-04T14:08:00,65.46,CUST-23512,United Kingdom
INV-100113,SKU-1006,Smart Watch,4,2024-06-20T15:49:00,175.31,CUST-63058,Germany
INV-100028,SKU-1002,USB-C Cable,3,2024-07-02T21:44:00,184.32,CUST-29889,Australia
INV-100038,SKU-1008,Bluetooth Speaker,5,2024-03-22T22:48:00,71.02,CUST-53675,Germany
INV-100058,SKU-1007,Desk Lamp,7,2024-11-11T08:56:00,176.39,CUST-19112,United Kingdom
INV-100117,SKU-1006,Smart Watch,5,2024-09-26T06:53:00,104.9,CUST-17789,United Kingdom
INV-100118,SKU-1001,Wireless Mouse,4,2024-03-25T05:54:00,182.01,CUST-86777,France
INV-100119,SKU-1002,USB-C Cable,7,2024-11-23T08:49:00,179.24,CUST-76121,United States
INV-100060,SKU-1005,Noise Cancelling Headphones,1,2024-05-23T12:50:00,104.85,CUST-48683,Australia
INV-100030,SKU-1003,Laptop Stand,7,2024-03-12T05:26:00,67.63,CUST-48496,Australia
INV-100030,SKU-1001,Wireless Mouse,7,2024-10-29T09:21:00,220.78,CUST-68958,United Kingdom
INV-100123,SKU-1004,Mechanical Keyboard,4,2024-05-29T17:20:00,187.97,CUST-51039,United States
INV-100041,SKU-1003,Laptop Stand,8,2024-11-28T15:31:00,17.69,CUST-34604,United States
INV-100031,SKU-1007,Desk Lamp,6,2024-08-29T01:36:00,48.59,CUST-86496,Spain
INV-100126,SKU-1004,Mechanical Keyboard,7,2024-09-11T16:01:00,167.57,CUST-51903,United States
INV-100127,SKU-1003,Laptop Stand,6,2024-09-04T13:00:00,230.06,CUST-74477,Australia
INV-100032,SKU-1004,Mechanical Keyboard,2,2024-01-31T21:37:00,114.85,CUST-16124,United States
INV-100129,SKU-1005,Noise Cancelling Headphones,6,2024-01-09T09:12:00,222.02,CUST-65981,Australia
INV-100043,SKU-1002,USB-C Cable,8,2024-09-05T23:46:00,220.91,CUST-60444,Spain
INV-100131,SKU-1003,Laptop Stand,7,2024-06-08T02:46:00,5.86,CUST-10040,Canada
INV-100044,SKU-1007,Desk Lamp,2,2024-09-02T11:34:00,153.71,CUST-19122,Spain
INV-100033,SKU-1007,Desk Lamp,7,2024-09-27T10:37:00,54.59,CUST-88154,France
INV-100067,SKU-1002,USB-C Cable,3,2024-10-23T09:09:00,98.01,CUST-76889,United States
INV-100033,SKU-1005,Noise Cancelling Headphones,4,2024-10-03T09:36:00,92.62,CUST-35171,United Kingdom
INV-100045,SKU-1005,Noise Cancelling Headphones,7,2024-09-30T12:47:00,63.54,CUST-83185,Germany
INV-100068,SKU-1002,USB-C Cable,4,2024-03-29T21:11:00,190.14,CUST-21119,United Kingdom
INV-100034,SKU-1005,Noise Cancelling Headphones,7,2024-11-15T11:01:00,43.16,CUST-16661,United Kingdom
INV-100069,SKU-1001,Wireless Mouse,1,2024-06-12T09:00:00,213.33,CUST-54792,United States
INV-100035,SKU-1003,Laptop Stand,7,2024-03-25T18:53:00,16.7,CUST-66566,France
INV-100141,SKU-1002,USB-C Cable,1,2024-04-23T04:01:00,62.48,CUST-94516,Australia
INV-100035,SKU-1003,Laptop Stand,2,2024-12-01T16:51:00,126.98,CUST-14818,Australia
INV-100143,SKU-1007,Desk Lamp,6,2024-07-02T21:22:00,227.25,CUST-85552,United States
INV-100048,SKU-1003,Laptop Stand,5,2024-08-08T17:50:00,118.36,CUST-30119,United Kingdom
INV-100036,SKU-1006,Smart Watch,5,2024-06-09T19:08:00,31.69,CUST-65190,France
INV-100048,SKU-1003,Laptop Stand,6,2024-09-16T18:26:00,15.53,CUST-79289,Spain
INV-100073,SKU-1006,Smart Watch,2,2024-01-25T00:21:00,176.3,CUST-34340,Australia
INV-100049,SKU-1005,Noise Cancelling Headphones,7,2024-01-04T01:47:00,21.74,CUST-51450,Spain
INV-100037,SKU-1004,Mechanical Keyboard,6,2024-09-25T11:05:00,167.54,CUST-84837,Australia
